Date,BTC,ETH,LTC
2018-02-16,10233.900390625,944.2100219727,230.1239929199
2018-02-17,11112.7001953125,974.1149902344,229.4649963379
2018-02-18,10551.7998046875,923.9210205078,215.7359924316
2018-02-19,11225.2998046875,943.8649902344,223.0570068359
2018-02-20,11403.7001953125,895.3709716797,232.8509979248
2018-02-21,10690.400390625,849.9710083008,213.3520050049
2018-02-22,10005,812.8449707031,195.3079986572
2018-02-23,10301.099609375,864.1890258789,209.3090057373
2018-02-24,9813.0703125,840.5150146484,209.4219970703
2018-02-25,9664.73046875,844.8099975586,220.4750061035
2018-02-26,10366.7001953125,869.3150024414,220.9620056152
2018-02-27,10725.599609375,878.2650146484,216.5989990234
2018-02-28,10397.900390625,855.1989746094,202.8950042725
2018-03-01,10951,872.200012207,209.75
2018-03-02,11086.400390625,856.8530273438,212.5559997559
2018-03-03,11489.7001953125,857.2249755859,210.6430053711
2018-03-04,11512.599609375,866.6779785156,213.7989959717
2018-03-05,11573.2998046875,853.6840209961,211.1750030518
2018-03-06,10779.900390625,816.9509887695,196.6009979248
2018-03-07,9965.5703125,752.8309936523,185.8390045166
2018-03-08,9395.009765625,704.5960083008,176.5110015869
2018-03-09,9337.5498046875,728.916015625,187.1679992676
2018-03-10,8866,686.8900146484,177.7319946289
2018-03-11,9578.6298828125,723.3389892578,188.9459991455
2018-03-12,9205.1201171875,699.8309936523,178.2339935303
2018-03-13,9194.849609375,690.8270263672,175.7819976807
2018-03-14,8269.8095703125,614.291015625,161.1009979248
2018-03-15,8300.8603515625,611.3040161133,164.4759979248
2018-03-16,8338.349609375,601.666015625,165.4499969482
2018-03-17,7916.8798828125,552.7789916992,152.9689941406
2018-03-18,8223.6796875,538.6439819336,154.074005127
2018-03-19,8630.650390625,556.7260131836,161.141998291
2018-03-20,8913.4697265625,557.174987793,168.8170013428
2018-03-21,8929.2802734375,561.7319946289,169.0520019531
2018-03-22,8728.4697265625,539.7020263672,163.6719970703
2018-03-23,8879.6201171875,539.6190185547,167.8320007324
2018-03-24,8668.1201171875,526.4390258789,159.6309967041
2018-03-25,8495.7802734375,524.2869873047,160.0839996338
2018-03-26,8209.400390625,489.9509887695,149.220993042
2018-03-27,7833.0400390625,450.1159973145,135.779006958
2018-03-28,7954.4799804688,446.2789916992,131.7469940186
2018-03-29,7165.7001953125,385.9679870605,114.6790008545
2018-03-30,6890.5200195313,394.6449890137,118.5979995728
2018-03-31,6973.5297851563,396.4570007324,116.6070022583
2018-04-01,6844.2299804688,379.6069946289,115.2220001221
2018-04-02,7083.7998046875,386.424987793,119.3059997559
2018-04-03,7456.1098632813,416.8930053711,134.4700012207
2018-04-04,6853.83984375,380.5429992676,118.4120025635
2018-04-05,6811.4702148438,383.2319946289,119.1309967041
2018-04-06,6636.3198242188,370.2850036621,113.1549987793
2018-04-07,6911.08984375,385.3139953613,116.2600021362
2018-04-08,7023.5200195313,400.5079956055,117.6709976196
2018-04-09,6770.7299804688,398.5260009766,114.9899978638
2018-04-10,6834.759765625,414.2430114746,114.2630004883
2018-04-11,6968.3198242188,430.5400085449,118.2910003662
2018-04-12,7889.25,492.9410095215,129.3350067139
2018-04-13,7895.9599609375,492.7349853516,125.3539962769
2018-04-14,7986.240234375,501.4779968262,126.2939987183
2018-04-15,8329.1103515625,531.7020263672,132.0449981689
2018-04-16,8058.669921875,511.1470031738,128.3350067139
2018-04-17,7902.08984375,502.8940124512,132.9279937744
2018-04-18,8163.419921875,524.7890014648,139.9969940186
2018-04-19,8294.3095703125,567.8889770508,146.3000030518
2018-04-20,8845.830078125,615.7180175781,155.5370025635
2018-04-21,8895.580078125,605.3950195313,148.9340057373
2018-04-22,8802.4599609375,621.8599853516,146.7740020752
2018-04-23,8930.8798828125,642.5479736328,152.2519989014
2018-04-24,9697.5,708.1580200195,165.7810058594
2018-04-25,8845.740234375,615.416015625,144.7640075684
2018-04-26,9281.509765625,662.8090209961,153.6790008545
2018-04-27,8987.0498046875,647.0319824219,145.9049987793
2018-04-28,9348.48046875,683.6779785156,152.296005249
2018-04-29,9419.080078125,688.8809814453,153.6309967041
2018-04-30,9240.5498046875,669.9240112305,148.4770050049
2018-05-01,9119.009765625,673.6129760742,148.4880065918
2018-05-02,9235.919921875,687.1489868164,151.5769958496
2018-05-03,9743.8603515625,779.5430297852,161.4589996338
2018-05-04,9700.759765625,785.6240234375,168.7879943848
2018-05-05,9858.150390625,816.1199951172,177.7619934082
2018-05-06,9654.7998046875,792.3109741211,171.8000030518
2018-05-07,9373.009765625,753.7249755859,164.8789978027
2018-05-08,9234.8203125,752.8569946289,159.6170043945
2018-05-09,9325.1796875,752.2750244141,157.0549926758
2018-05-10,9043.9404296875,727.2769775391,149.8690032959
2018-05-11,8441.490234375,679.5859985352,137.1170043945
2018-05-12,8504.8896484375,686.0479736328,141.8820037842
2018-05-13,8723.9404296875,733.4959716797,144.5879974365
2018-05-14,8716.7900390625,730.5490112305,147.7140045166
2018-05-15,8510.3798828125,708.8709716797,139.8800048828
2018-05-16,8368.830078125,707.049987793,139.2680053711
2018-05-17,8094.3198242188,672.6569824219,132.7729949951
2018-05-18,8250.9697265625,694.3670043945,136.0570068359
2018-05-19,8247.1796875,696.5300292969,135.3200073242
2018-05-20,8513.25,715.3690185547,139.6979980469
2018-05-21,8418.990234375,699.2219848633,134.5090026855
2018-05-22,8041.7797851563,647.741027832,128.675994873
2018-05-23,7557.8198242188,583.5850219727,119.3140029907
2018-05-24,7587.33984375,601.7550048828,122.6129989624
2018-05-25,7480.1401367188,586.7340087891,119.4420013428
2018-05-26,7355.8798828125,587.2800292969,118.2770004272
2018-05-27,7368.2202148438,572.6680297852,117.9919967651
